 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 iter    90 lrate =  1.0000000000 LL =  -2.4850597353 nd =  0.0005962307, D =   0.67033E-02  0.67033E-02  (  1.56 s,   0.8 h)
 iter    91 lrate =  1.0000000000 LL =  -2.4850305924 nd =  0.0005744379, D =   0.66850E-02  0.66850E-02  (  1.57 s,   0.8 h)
 iter    92 lrate =  1.0000000000 LL =  -2.4850032831 nd =  0.0005564862, D =   0.66716E-02  0.66716E-02  (  1.57 s,   0.8 h)
 iter    93 lrate =  1.0000000000 LL =  -2.4849774455 nd =  0.0005406842, D =   0.66603E-02  0.66603E-02  (  1.57 s,   0.8 h)
 iter    94 lrate =  1.0000000000 LL =  -2.4849528378 nd =  0.0005272706, D =   0.66474E-02  0.66474E-02  (  1.57 s,   0.8 h)
 iter    95 lrate =  1.0000000000 LL =  -2.4849294691 nd =  0.0005144955, D =   0.66365E-02  0.66365E-02  (  1.56 s,   0.8 h)
 iter    96 lrate =  1.0000000000 LL =  -2.4849073339 nd =  0.0005030294, D =   0.66260E-02  0.66260E-02  (  1.57 s,   0.8 h)
 iter    97 lrate =  1.0000000000 LL =  -2.4848861896 nd =  0.0004934572, D =   0.66154E-02  0.66154E-02  (  1.61 s,   0.9 h)
 iter    98 lrate =  1.0000000000 LL =  -2.4848657114 nd =  0.0004848210, D =   0.66063E-02  0.66063E-02  (  1.61 s,   0.9 h)
 iter    99 lrate =  1.0000000000 LL =  -2.4848457143 nd =  0.0004769918, D =   0.65966E-02  0.65966E-02  (  1.58 s,   0.8 h)
 iter   100 lrate =  1.0000000000 LL =  -2.4848262841 nd =  0.0004689842, D =   0.65883E-02  0.65883E-02  (  1.57 s,   0.8 h)
 iter   101 lrate =  1.0000000000 LL =  -2.4848191391 nd =  0.0004745505, D =   0.65883E-02  0.65883E-02  (  3.80 s,   2.0 h)
